Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
ZWE,2014-01-01,2014-12-31,181,'716,Zimbabwe,2051,'F2051,Agriculture,5539,Producer Price Index (2014-2016 = 100),2014,2014,7021,Annual value,,23.820000,E
ZWE,2015-01-01,2015-12-31,181,'716,Zimbabwe,2051,'F2051,Agriculture,5539,Producer Price Index (2014-2016 = 100),2015,2015,7021,Annual value,,89.610000,E
ZWE,2016-01-01,2016-12-31,181,'716,Zimbabwe,2051,'F2051,Agriculture,5539,Producer Price Index (2014-2016 = 100),2016,2016,7021,Annual value,,101.520000,E
ZWE,2017-01-01,2017-12-31,181,'716,Zimbabwe,2051,'F2051,Agriculture,5539,Producer Price Index (2014-2016 = 100),2017,2017,7021,Annual value,,99.220000,E
ZWE,2018-01-01,2018-12-31,181,'716,Zimbabwe,2051,'F2051,Agriculture,5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,107.110000,E
ZWE,1991-01-01,1991-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,0.210000,E
ZWE,1992-01-01,1992-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,0.420000,E
ZWE,1993-01-01,1993-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,0.670000,E
ZWE,1994-01-01,1994-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,0.670000,E
ZWE,1995-01-01,1995-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,0.810000,E
ZWE,1996-01-01,1996-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,0.930000,E
ZWE,1997-01-01,1997-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,0.980000,E
ZWE,1998-01-01,1998-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,2.130000,E
ZWE,1999-01-01,1999-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,3.140000,E
ZWE,2000-01-01,2000-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,4.180000,E
ZWE,2001-01-01,2001-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,11.050000,E
ZWE,2002-01-01,2002-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,22.970000,E
ZWE,2003-01-01,2003-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,246.450000,E
ZWE,2004-01-01,2004-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,611.290000,E
ZWE,2005-01-01,2005-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,1900.600000,E
ZWE,2006-01-01,2006-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,31089.590000,E
ZWE,2007-01-01,2007-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,94582.000000,E
ZWE,2010-01-01,2010-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,73.110000,E
ZWE,2011-01-01,2011-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2011,2011,7021,Annual value,,80.620000,E
ZWE,2012-01-01,2012-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2012,2012,7021,Annual value,,82.950000,E
ZWE,2013-01-01,2013-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2013,2013,7021,Annual value,,83.230000,E
ZWE,2014-01-01,2014-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2014,2014,7021,Annual value,,87.380000,E
ZWE,2015-01-01,2015-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2015,2015,7021,Annual value,,103.920000,E
ZWE,2016-01-01,2016-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2016,2016,7021,Annual value,,108.690000,E
ZWE,2017-01-01,2017-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2017,2017,7021,Annual value,,108.760000,E
ZWE,2018-01-01,2018-12-31,181,'716,Zimbabwe,1717,'F1717,"Cereals, primary",5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,110.460000,E
ZWE,1991-01-01,1991-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,0.500000,E
ZWE,1992-01-01,1992-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,0.500000,E
ZWE,1993-01-01,1993-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,0.500000,E
ZWE,1994-01-01,1994-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,0.500000,E
ZWE,1995-01-01,1995-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,0.580000,E
ZWE,1996-01-01,1996-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,0.670000,E
ZWE,1997-01-01,1997-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,0.670000,E
ZWE,1998-01-01,1998-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,1.610000,E
ZWE,1999-01-01,1999-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,2.330000,E
ZWE,2000-01-01,2000-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,4.160000,E
ZWE,2001-01-01,2001-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,14.430000,E
ZWE,2002-01-01,2002-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,21.940000,E
ZWE,2003-01-01,2003-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,140.930000,E
ZWE,2004-01-01,2004-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,585.240000,E
ZWE,2005-01-01,2005-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,1793.980000,E
ZWE,2006-01-01,2006-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,24978.220000,E
ZWE,2007-01-01,2007-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,75506.170000,E
ZWE,2015-01-01,2015-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),2015,2015,7021,Annual value,,95.780000,E
ZWE,2016-01-01,2016-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),2016,2016,7021,Annual value,,104.220000,E
ZWE,2017-01-01,2017-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),2017,2017,7021,Annual value,,117.470000,E
ZWE,2018-01-01,2018-12-31,181,'716,Zimbabwe,1804,'F1804,"Citrus Fruit, Total",5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,129.010000,E
ZWE,1991-01-01,1991-12-31,181,'716,Zimbabwe,1814,'F1814,"Coarse Grain, Total",5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,0.210000,E
ZWE,1992-01-01,1992-12-31,181,'716,Zimbabwe,1814,'F1814,"Coarse Grain, Total",5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,0.410000,E
ZWE,1993-01-01,1993-12-31,181,'716,Zimbabwe,1814,'F1814,"Coarse Grain, Total",5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,0.660000,E
